,school_name,early_career_pay,mid_career_pay,meaning_percentage,stem_percentage,engineering,private_school,religious,art,for_sports_fans,party_school,liberal_arts_school,state_school,research_university,business,sober_school,ivy_league,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,AIAN_enrollment_percentage,Asian_enrollment_percentage,Black_enrollment_percentage,Hispanic_enrollment_percentage,NHPI_enrollment_percentage,non_resident_enrollment_percentage,total_minority_enrollment_percentage,unknown_enrollment_percentage,White_enrollment_percentage,women_enrollment_percentage,school_rank
948,North Park University,47200,82100,56,5,False,True,True,False,False,False,False,False,False,False,False,False,IL,Private,4 Year,9866.0,29190.0,39056.0,29190.0,39056.0,3185.0,0.002511773940345369,0.06970172684458399,0.09921507064364207,0.16483516483516483,0.00847723704866562,0.044897959183673466,0.376138147566719,0.08634222919937205,0.4926216640502355,0.6470957613814756,over_250
949,Millikin University,47100,82100,53,7,False,True,False,False,False,False,False,False,False,False,False,False,IL,Private,4 Year,11818.0,35102.0,46920.0,35102.0,46920.0,2190.0,0.0027397260273972603,0.008675799086757991,0.13470319634703196,0.058447488584474884,0.00045662100456621003,0.014155251141552512,0.2461187214611872,0.00410958904109589,0.7356164383561644,0.5949771689497717,over_250
950,Eureka College,44900,82100,58,14,False,True,True,False,False,False,False,False,False,False,False,False,IL,Private,4 Year,9620.0,25390.0,35010.0,25390.0,35010.0,664.0,0.0030120481927710845,0.007530120481927711,0.05271084337349398,0.022590361445783132,0.004518072289156626,0.007530120481927711,0.11897590361445783,0.03463855421686747,0.838855421686747,0.5632530120481928,over_250
951,The University of Tennessee Chattanooga,47100,82100,57,17,False,False,False,False,True,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
952,Eastern University,45800,82100,56,3,False,True,True,False,False,False,False,False,False,False,False,False,PA,Private,4 Year,11254.0,33122.0,44376.0,33122.0,44376.0,3762.0,0.004518872939925572,0.019936204146730464,0.26900584795321636,0.11164274322169059,0.001063264221158958,0.03349282296650718,0.41068580542264754,0.06937799043062201,0.4864433811802233,0.6895268474215842,over_250
953,Florida Agricultural and Mechanical University,49600,82000,63,8,False,False,False,False,True,False,False,True,True,False,False,False,FL,Public,4 Year,10594.0,5827.0,16421.0,17768.0,28362.0,,,,,,,,,,,,over_250
954,Ottawa University Online,48200,82000,0,7,False,True,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
955,Hollins University,42300,82000,46,12,False,True,False,True,False,False,True,False,False,False,False,False,VA,Private,4 Year,13520.0,39035.0,52555.0,39035.0,52555.0,770.0,0.006493506493506494,0.02207792207792208,0.1025974025974026,0.05194805194805195,0.0,0.05064935064935065,0.2051948051948052,0.023376623376623377,0.7207792207792207,0.948051948051948,over_250
956,University of North Carolina Wilmington,47500,82000,49,14,False,False,False,False,True,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
957,CUNY Lehman College,49200,82000,60,8,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,over_250
958,Regis College,54700,81900,52,2,False,True,True,False,False,False,False,False,False,False,False,False,MA,Private,4 Year,15180.0,41015.0,56195.0,41015.0,56195.0,1912.0,0.002615062761506276,0.05596234309623431,0.16213389121338911,0.06956066945606694,0.0010460251046025104,0.009414225941422594,0.3049163179916318,0.16317991631799164,0.522489539748954,0.8122384937238494,over_250
